lang_id,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
1,oynos  sem,duwō,treyes,kwetwores,penkwe,sweks,septṃ,oktō,newṇ ,dekṃ
2,ainaz,twai,þrijiz,fiþwor,fimfi,seks,sibum,ahtō,niwun,tehun
3,án,twá,þrí,féower,fíf,sex,seofon,eahta,niɣon,tíen
4,an,two,three,four,fif,six,seven,eihte,nien,ten
5,one,two,three,four,five,six,seven,eight,nine,ten
6,ane,twa,thrie,fower,fyve,sax,seiven,aicht,nyne,ten
7,en,twe,thre,fiuwer,fif,sex,sigun,achta,nigun,tian
8,ien,twa,trije,fjouwer,fiif,seis,sân,acht,njoggen,tsien
9,aan,twæi,træi,fjauer,fieuw,sæks,sogen,oachte,njugen,tjoon
10,een,twee,drie,vier,vijf,zes,zeven,acht,negen,tien
11,ièn,twiè,drie,viere,vuvve,zèsse,zēvne,achte,nēgne,tiene 
12,iën,twië,draë,vīr,vaëf,zes,zēve,acht,nēge,ting
13,een,twee,dree,veer,fief,söß,söven,acht,negen,teihn
14,ɛin,twɛi,dɾɛi,fɛiæ,fif,zɛs,zɛbm,axt,nɛŋ,tain
15,een,twee,dree,fea,fief,sass,säwen,acht,näajen,tian
16,een,twee,drie,vier,vyf,ses,sewe,agt,nege,tien
17,ein,zwâ,drî,fior,fimf,sehs,sibun,ahto,niun,zehan
18,ein,zwēne,drīe,vier,fünf,sëhs,siben,ahte,niun,zëhen
19,ein,twene,drê,vêr,vîf,ses,sevene,achte,negen,tein
20,ên,tuuêne,thria,fiuuar,fîf,sehs,siƀun,ahto,nigun,tehan
21,eins,zwei,drei,vier,fünf,sechs,sieben,acht,neun,zehn
22,oans,zwoa,drai,viare,fimbfe,sechse,simme,aochte,naine,zene
23,oes,zwoe,droe,vier,fümf,sechs,siibe,acht,noen,zaen
24,ent,zwei,drei,vier,fönf,sechs,sibbe,aach,nöng,zehn
25,eins,zwei,drëi,vier,fenf,sex,seve,acht,nin,zehn
26,òan,zbeen,drai,viar,vüf,sèks,siban,acht,naün,zègan
27,ais,zwai,drei,viére,venve,žakše,šìbne,achtwe,nine,zìne
28,ääns,zwei,drej,vir,fennef,sechs,siwe,acht,nin,zeen
29,eens,zwee,drei,vier,fimf,sex,siwwe,acht,neine,zeh
30,eent,zwee,dräi,véier,fënnef,sechs,siwen,aacht,néng,zéng
31,eis,zwei,drüü,vier,foif,sächs,siebë,acht,nüün,zäh
32,eyns,tsvey,dray,fir,finef,zeks,zibn,akht,nayn,tsen
33,æinn,tvæi,þrī,fiūri,fǣm,sæx,siū,ātta,nīu,tīu
34,einn,tveir,thrír,fjórir,fimm,sex,sjau,átta,níu,tíu
35,en y ein,to,tre,fire,fem,seks,sju,åtte,ni,ti
36,én,to,tre,fire,fem,seks,syv,otte,ni,ti
37,ēn,twēr,þrīr,fiūrir,fǣm,sæx,siū,ātta,nīo,tīo
38,en,två,tre,fyra,fem,sex,sju,åtta,nio,tio
39,ienn,twer,trair,fiuärer,fem,sjäks,sju,åtta,niu,tiu
40,ein,tveir,tríggir,fÿra,fimm,seks,sjey,átta,níggju,tíggju
41,einn,tueir,þrír,fiórer,fimm,sex,siau,átta,nío,tío
42,einn,tveir,þrír,fjórir,fimm,sex,sjö,átta,níu,tíu
43,ains,twai,þreis,fidwor,fimf,saíhs,sibun,ahtau,niun,taíhun
44,ene,tua,tria,fyder,fyuf,seis,sevene,athe,nyne,thiine
46,uinus,dus,tris,petora,pompe,sehs,seften,uhto,nuven,deken
47,uns,tuf,trif,petur,pumpe,sehs,,,nuvim,desem
48,,du,tris,,cuicue,zex,zepten,octu,neuen,
49,ūnus,duo,trēs,quattuor,quinque,sex,septem,octō,novem,decem
50,uno,dox,trex,quatro,chinco,xaix,xebte,oito,nove,diex
51,um,dois,três,quatro,cinco,seis,sete,oito,nove,dez
52,un,dous,tres,catro,cinco,seis,sete,oito,nove,dez
53,uno,dos,tres,cuatro,cinco,seis,siete,ocho,nueve,diez
54,unu,do,tre,cuatru,sincu,sex,sieti,ochu,muevi,dies
55,uno,dos,tres,cuatru,cincu,seis,siete,ochu,nueve,diez
56,un,dos,tres,cuatro,zinco,seis,siet,güeito,nueu,diez
57,un,dos,tres,quatre,cinc,sis,set,vuit,nou,deu
58,u,dos,tres,quatre,cinc,sis,set,huit,nou,deu
59,un,deus,treis,quatre,cinc,sis,set,oit,nous,dis
60,un,deux,trois,quatre,cinq,six,sept,huit,neuf,dix
61,onk,deus,troes,cwate,cénk,shijh,set,ût,noûf,dijh
62,ieune,deux,trais,quat,chînq,six,sept,huit,neuf,dgix
63,in,deùs,tràes,quatre,cénc,sis,sét,uit,neùv,dis
64,ung,diaus,trois,katre,chincq,sies,siet,wict,niuf,deis
65,in,deu,trouo,kat,chink,sis,siet,uit,neuf,dich
66,un,dos,tres,quatre,cinc,sièis,sèt,vuèch,nòu,dètz
67,un,dos,tres,quatre,cinc,sièis,sèt,uèch,nòu,dètz
68,un,dus,tres,quate,cinc,shèis,sèt,ueit,nau,dètz
69,vun,dou,trei,catre,sin,siei,sé,veu,neu,dié
70,un,dōū,trei,quātre,cin,siei,se,hue,nō,die
71,on,doû,trâi,quatro,cin,sî,sat,houit,nâo,dyî
72,in,dus,trais,quatter,tschintg,sis,set,otg,nov,diesch
73,in,dus,treis,quater,tschun,sis,siat,otg,nov,diesch
74,egn,dus,tres,quater,tschentg,sis,seat,otg,nov,diesch
75,ün,duos,trais,quatter,tschinch,ses,set,ot,nuov,desch
76,egn,dus,treis,quatter,tschintg,seis,set,otg,nov,diesch
77,ũŋ,doy,tre,kwàtri,čiŋk,sîs,syet,vot,nûf,dîs
78,un,doi,trëi,cater,cinc,síes,set,òt,nuéf,díesc
79,join,doi,tra,kwatro,chenk,si,sapto,guapto,nu,dik
80,uno,due,tre,quattro,cinque,sei,sette,otto,nove,dieci
81,ün,dü,trè,quatr,sinc,sés,sèt,öt,nöu,dés
82,vun,duu,trii,quatter,cinqu,sés,sètt,vòtt,noeuv,dés
83,un,doì,trei,quattro,çinque,sei,sette,euttu,neuve,dexe
84,on,do,tri,cuatro,sinque,sié,sete,oto,nove,diese
85,vɔn,du,trì,cuatar,sinc,sɛs,sɛt,ɔt,nɔv,dɛz
86,unu,dui,trè,quattru,cinque,sei,sette,ottu,nove,dece
87,unu,dui,tre,quattru,cénque,séi,sétte,òtto,nòe,dèsce
88,unë,rujë,tréië,quattë,cinghë,sèië,sèttë,òttë,nòvë,riécë
89,unu,dui,ṭṛi,quaṭṭru,cincu,sie,setti,òttu,novi,dèci
90,unu,doi,trei,patru,cinci,şase,şapte,opt,nouă ,zece
91,unu,doĭ,treĭ,patru,ţinţi,şase,şapte,optu,no̯au̯a ,àţe
92,unu,doi,trei,patru,ţinţi,şasi,şapti,uopt,nou,zeţi
93,ur,doi,trei,påtru,ţinţ,şåse,şåpte,opt,devet,deset
94,unu,duos,tres,báttor,chimbe,ses,sette,otto,nove,deghe
96,oinos,dvai,treis,qetveres,qenqe,svex,septn,octô,nevn,decn
97,ônos,duô,treis,petor,pempe,suex,sextan,oxtû,navan,decam
98,oino,dau,tri,petuar,pempe,hweh,seht,oht,nau,dek
99,unn,dou,tri,petguar,pimp,NA,NA,NA,NA,NA
100,un,dau,tri,pedwar,pump,chwech,saith,wyth,naw,deg
101,unan,daou,tri,pewar,pemp,chwech,seizh,eizh,nav,dek
102,unan,deu,tri,pear,pemp,huéh,seih,eih,naù,dek
103,un,deu,try,peswar,pymp,whegh,seyth,eath,naw,dek
104,onan,dew,tri,peswar,pymp,hwegh,seyth,eth,naw,deg
105,on,deaw,try,pager,pemp,whee,sith,eath,nawe,deeg
106,un,deu,tri,peduar,pemp,hueh,seith,eith,nau,dek
107,oino,daβu,triβ,keùur,kweβik,swe,sehtn,oht,nowin,dehn
108,óen,da,tri,cethair,cóic,se,secht,ocht,noi,deich
109,aon,dó,trí,ceathair,cúig,sé,seacht,ocht,naoi,deich
110,aon,dà,trì,ceithir,cóig,sia,seachd,ochd,naoi,deich
111,nane,jees,tree,kiore,queig,shey,shiaght,hoght,nuy,jeih
113,eme hemei,duwo dwo,tirɨtri,qetoro quetro,,we wex,,,enewo ennewo,
114,heīs,dúō,treīs,téttares,pénte,héx,heptá,oktṓ ,ennéa,déka
115,éna,ðío,tría,téssera,pénde,éksi,eftá,oχtó,ennéa,ðéka
116,ένα,δύο,τρία,τέσσερα,πέντε,έξι,εφτά,οχτώ,εννέα,δέκα
117,énas,θkió,dris,désseris,bénde,éksi,eftá,oχtó,eniá,ðéga
118,éna,ðíu,čía,tésera,pénde,ékse,eftá,oxtó,enía,ðéka
120,sas,wu,tre,śtwar,päñ,ṣäk,ṣpät,okät,ñu,śäk
121,ṣe,wi,trai,śtwer,piś,ṣkas,ṣukt,okt,ñu,śak
125,ńâ,dy,tre,katër,pês,ɣ́ašt,štat,tet,nân,ðet
126,ni,ǵu,tri,kátrë,pésë,ǵáštë,štátë,tétë,në́ntë,zjétë
128,mi,erkow,erek,čork,hing,vec,ewtn,owt,inn,tasn
129,mek,yerku,yerekh,čořs,hing,vec,yoth,uth,inn,tas
131,aīns,dwāi,trijan,keturjāi,pēnkjāi,usjai,septīnjai,astōnjai,newīnjai,desīmtan
132,víenas,dù,trỹs,keturì,penkì,šešì,septynì,aštuonì,devynì,dēšimt
133,viêns,divi,trî̀s,četri,pìeci,seši,septiṇi,astôṇi,deviṇi,desmit
134,vīns,divi,trejs,četri,pīci,seši,septeni,ostoni,deveni,desmit
136,odín,dva,tri,četÿre,pyat,šest,sem,vósem,dévyat,désyat
137,один,два,три,четыре,пять,шесть,семь,восемь,девять,десять
138,adzín,dva,try,čatÿry,piać,šesć,sem,vósem,dzéviać,dzésiać
139,адзін,два,три,чатыры,пяць,шэсць,сем,восем,дзевяць,дзесяць
140,odÿn,dva,tri,čotÿry,pyat,šist,sim,vísim,devyat,desyat
141,один,два,три,чотири,пять,шість ,сім,вісім,девять,десять
142,jeden,dva,try,štyry,pať,šisť,sïm,visem,devať,desať
143,єден,два,три,штири,пять ,шість ,сїм,вісем,девять,десять
144,jeden,dwa,trzy,cztery,pięć,sześć,siedem,osiem,dziewięć,dziesięć
145,jeden,dva,třë,štërë,pjińc,šesc,sétmë,wœsmë,dzevjińc,dzesińc
146,janü,dåvo,tåri,citěr,pąt,sist,siděm,visěm,divąt,disąt
147,jeden,dva,tři,čtyři,pět,šest,sedm,osm,devět,deset
148,jeden,dva,tri,štyri,pät,šest,sedem,osem,devät,desat
149,jeden,dva,try,štyry,pet,šest,sedem,ossem,devat,desat
150,jeden,dva,tri,štyri,pejc,šesc,šedzem,osem,dzevec,dzešec
