lang_id,lang_name,extinct,gt_million,parent_lang_id,group1,group2,group3,group4,group5,group6,group7
1,Proto-Indo- European,TRUE,FALSE,NA,Indo-European,NA,NA,NA,NA,NA,NA
2,Old Germanic,TRUE,FALSE,NA,Indo-European,Germanic,NA,NA,NA,NA,NA
3,Old English,TRUE,FALSE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
4,Middle English,TRUE,FALSE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
5,English,FALSE,TRUE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
6,Scots,FALSE,FALSE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
7,Old Frisian,TRUE,FALSE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
8,W.Frisian,FALSE,FALSE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
9,Frisian (Saterland),FALSE,FALSE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
10,Dutch,FALSE,TRUE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
11,W/S Flemish,FALSE,FALSE,10,Indo-European,Germanic,Western,NA,NA,NA,NA
12,Brabants,FALSE,FALSE,10,Indo-European,Germanic,Western,NA,NA,NA,NA
13,Low Saxon,FALSE,FALSE,10,Indo-European,Germanic,Western,NA,NA,NA,NA
14,Emsland,FALSE,FALSE,10,Indo-European,Germanic,Western,NA,NA,NA,NA
15,Mennonite Plautdietsch,FALSE,FALSE,10,Indo-European,Germanic,Western,NA,NA,NA,NA
16,Afrikaans,FALSE,TRUE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
17,Old High German,TRUE,FALSE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
18,Middle High German,TRUE,FALSE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
19,Middle Low German,TRUE,FALSE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
20,Old Saxon,TRUE,FALSE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
21,German,FALSE,TRUE,NA,Indo-European,Germanic,Western,NA,NA,NA,NA
22,Central Bavarian,FALSE,FALSE,21,Indo-European,Germanic,Western,NA,NA,NA,NA
23,Swabian,FALSE,FALSE,21,Indo-European,Germanic,Western,NA,NA,NA,NA
24,Ripuarian,FALSE,FALSE,21,Indo-European,Germanic,Western,NA,NA,NA,NA
